t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27
0.09314652931247762,0.0712850723268519,0.18672795748457494,0.1249513996910349,0.0,0.08751179213733022,0.0,0.059726964297673955,0.043257095420021395,0.060818587983963245,0.014615036086894833,0.02452229162017687,0.0,0.0,0.0,0.0,0.029925820332570477,0.016297436608103705,0.023128563771647122,0.0,0.0,0.07029272214561841,0.0,0.03228627275445753,0.02169048055815495,0.0,0.03981597746844805,0.0
0.03752419874247355,0.17927965925997463,0.04256550787825012,0.03641879817189246,0.0,0.0,0.0,0.0,0.024266959919268905,0.18192793610169958,0.04704148566972165,0.013013575458255851,0.02636352804378108,0.0,0.020285795639439774,0.07925442221261206,0.0,0.02599328886933622,0.12936408462118149,0.0,0.048486333284337886,0.012167356539635254,0.02809528802299789,0.017672842750769094,0.023697638162063786,0.01308311105369894,0.0,0.013498189598609758
0.11121056319377443,0.11570413194476314,0.11212881187945775,0.056533160944062674,0.0,0.0,0.0,0.0318489146527751,0.0,0.030749477487671064,0.1257566407686582,0.09032077079276624,0.07725178741054414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08280009053623458,0.0,0.10049719571496893,0.035193644697850496,0.030004809976473267,0.0,0.0,0.0
0.09723029092958788,0.06564238381692536,0.1224898854742453,0.10971721402739085,0.0,0.035119602705451045,0.0,0.11216472160751846,0.032379578906159924,0.06573486147495584,0.03280331277659821,0.012231123515275923,0.0,0.0,0.0,0.0,0.0,0.0365794451230803,0.0,0.0,0.08965711147025063,0.05445634059476804,0.0,0.05369221474527685,0.010818684930497972,0.036155723699962804,0.03312750420205449,0.0
0.07720610719075154,0.06213513563968878,0.0,0.027895328548806404,0.12616899454809666,0.09478011391086248,0.08154788857456594,0.0,0.016030775772417002,0.016496700884912487,0.010408765324632262,0.0,0.08172454915195684,0.0,0.014351255427277318,0.061062795519317946,0.03501927927041494,0.011378057739588903,0.02890946635839173,0.0,0.08603009937442338,0.011159665682105135,0.0,0.0,0.09000662369846828,0.0,0.04652694529348735,0.021161452089834765
0.1021475063804442,0.09968241293479561,0.09155466820283342,0.3170430293048612,0.040570524462886115,0.0,0.0,0.042461361728571026,0.0,0.04099557868151044,0.0,0.04522536079195153,0.07495352442036016,0.0,0.0,0.0,0.0,0.0,0.0,0.021836535827285206,0.020184450809778574,0.0,0.0,0.06334226758774916,0.0400027788669733,0.0,0.0,0.0
0.0,0.03609910696088363,0.06480256750023103,0.0,0.0,0.0,0.16698056761681204,0.0,0.2706745655414786,0.0,0.0,0.0,0.06812469634115965,0.0,0.0,0.0,0.0,0.0,0.0,0.18340449632449587,0.0,0.0,0.0,0.03103561015926066,0.04312986504027013,0.13574852451540834,0.0,0.0
0.13294647828267553,0.0884880432274713,0.1194773871259154,0.06531465008492333,0.0,0.026557398500864828,0.0,0.03491863084738211,0.024485396019802215,0.032177066660256264,0.024805823028898097,0.0,0.0,0.0,0.08424929843978156,0.0,0.0,0.027661329463826104,0.0,0.0,0.0,0.04117981488012688,0.16502223521455692,0.10766547205468932,0.0,0.0,0.025050976168830102,0.0
0.052416529071705825,0.09003111475131612,0.14773939916891005,0.12705184165501926,0.0,0.011781026752014742,0.01717703869558311,0.04102218380751586,0.06426454788580373,0.05768592244377404,0.011004017004891321,0.012308954165785311,0.0,0.03754541174867071,0.029069783000668852,0.021240179010563846,0.0,0.012270737376592697,0.0,0.018866543426413713,0.0,0.04708478950231236,0.0,0.08218810572645853,0.010887527771038756,0.016233914644917607,0.09213043239004338,0.0
0.10447368924916017,0.18000228144759492,0.2124824148968392,0.13610121968845218,0.0,0.0,0.0,0.07667492950350144,0.0,0.07402808052773782,0.0,0.08166604200448946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02089736150445963,0.0,0.11367398117776532,0.0,0.0,0.0
