t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27
0.0933984742699093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530727428352396,0.0,0.0,0.0,0.37587409737769484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.06992823777516409,0.0,0.16692021284624495,0.0,0.22570271076688367,0.0,0.0,0.0,0.0,0.0,0.026027744273889375,0.0,0.047067311863604674,0.0,0.0,0.06012745346486702,0.0,0.0,0.0,0.0,0.023728167359191855,0.0,0.13983535232121724,0.03650116749488857,0.17560107386164261,0.0,0.028560567972405818
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6154220235907046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3845779764092954,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.15752213540785642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7888336433635271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053644221228616534,0.0
0.4363131935455741,0.0,0.0,0.1939852433914069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3697015630630191,0.0,0.0,0.0
0.4808317386004741,0.0,0.06175780601045031,0.06153212826776593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06822777466454094,0.0,0.0,0.25992752308543376,0.06772302937133502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0827840911713974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22283509138553584,0.0,0.0,0.0,0.0,0.0,0.6943808174430668,0.0,0.0,0.0
0.0,0.0,0.42476398568494633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5752360143150537,0.0
0.5009416377797272,0.0,0.05227721712958904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0362428248884721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4105383202022116,0.0
0.0,0.7328411960707613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14961614857252512,0.0,0.0,0.11754265535671374,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.26910598505301764,0.0,0.22901366714295762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28808452296377857,0.0,0.0,0.0,0.21379582484024626,0.0
0.0,0.0,0.0,0.0,0.0,0.6441034509016077,0.0,0.0,0.18280132743283967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1730952216655526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40436157719989957,0.0,0.0,0.0,0.0,0.0,0.24729015634398976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2611103513671183,0.0,0.0,0.0,0.0,0.0,0.08723791508899231,0.0
0.11684014256904215,0.0,0.0,0.23583427439006696,0.0,0.1488079684588193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283845016444176,0.0,0.0,0.470133112937654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27824766197901935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7217523380209806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.07036084403461676,0.0,0.0,0.0,0.0,0.27293565396130964,0.0,0.567471381016603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08923212098747059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.06945053729451874,0.0,0.0348782092709403,0.07632773848827704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0804890307928429,0.0,0.0,0.0,0.0,0.16012569000033136,0.07346168416430617,0.5052671099887834,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08113005965238303,0.0,0.0,0.0,0.0,0.09836000025490052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2885848536653627,0.3676037716389365,0.0,0.16432131478841724,0.0,0.0,0.0
0.09843003898847155,0.0,0.0,0.0,0.0,0.0,0.0,0.1574840922019242,0.24902111361734758,0.0,0.0,0.04399609201950469,0.0,0.08554652042520458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2243987721776139,0.0,0.14112337056993352,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4744595858286807,0.0,0.5255404141713194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1547876370667781,0.0,0.0,0.16564704364194058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20370939671389612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1475675842232328,0.3282883383541524
0.3237334825060594,0.0653985919110957,0.0,0.022969507305051744,0.0,0.08504406755734661,0.0,0.020082314850184222,0.028107767485905415,0.0,0.0,0.0,0.0,0.027907216589373725,0.17865569963882297,0.0,0.0,0.0,0.06853228005037842,0.0,0.0,0.0,0.0,0.0,0.1306809871771322,0.0,0.048888084928649676,0.0
0.0,0.10195436357367248,0.030464490510562915,0.06800512865661312,0.0,0.011610084960773375,0.09975413056144118,0.009809616542370522,0.046869216717049376,0.011067135044362365,0.0,0.07029724610893903,0.0,0.29795434342733657,0.0,0.0,0.09715577983372996,0.0,0.0,0.012520954655188179,0.0,0.05121076803693364,0.03185534130322384,0.0,0.0,0.0,0.013322360087677098,0.04614903998012642
0.0,0.0,0.2827004318879998,0.0,0.0,0.0,0.0,0.2707804503123227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1212757217270354,0.0,0.0,0.0,0.0,0.3252433960726421,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
