t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41
0.03773272057632549,0.03560612119458763,0.07494429483845104,0.04078247640165414,0.13146622479916747,0.0,0.0,0.01712733422994851,0.03337549824721394,0.04642205240664479,0.0,0.0,0.017814450075260807,0.030894287199634118,0.014872646132329062,0.008038779610509007,0.0,0.03482118976014582,0.0,0.0,0.035031344875780926,0.014413092409037796,0.15357541502330704,0.030411155669913724,0.008298868221738543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029376729632587584,0.06620607791262582,0.08930160876862478,0.007663849709011508,0.007610915167158097,0.0,0.0,0.017746000068408763,0.01646686706993344,0.0
0.05305868083279135,0.0,0.06831942928650483,0.06325282443129888,0.05721820243235823,0.021703592400495405,0.0,0.01837822111438938,0.016768227851098407,0.02260762737013338,0.0,0.052744234885823436,0.07771826856257384,0.027418607208920278,0.0,0.04739378421265303,0.0,0.0,0.014641197521740382,0.051614044590176586,0.04675333744587645,0.05355653043871629,0.03730556520984188,0.03641584011967335,0.0,0.0,0.0,0.03157042512817839,0.07045399638610314,0.0741687683726634,0.0,0.0,0.014759201266469872,0.0,0.0,0.01540161913813606,0.0,0.0,0.0,0.0,0.0,0.026777773793383815
0.04592609396237785,0.012383630770569113,0.05324318677570352,0.03988325475634825,0.04102880723595286,0.08096050559355217,0.0,0.0,0.04062273393306413,0.03594556187709652,0.0,0.01218421347775656,0.0,0.03760274677149334,0.03825163366703622,0.0,0.06412464535572322,0.0,0.0,0.0,0.0,0.05775908588748358,0.0,0.17736146395020277,0.06558409100757821,0.0,0.0,0.0,0.040694114875854996,0.0,0.0,0.0,0.035755663116962856,0.0,0.0,0.0,0.02958244862226603,0.04288788361446188,0.04821823474851573,0.0,0.0,0.0
0.020707944105134466,0.07457675645592335,0.059000579828960814,0.1811169658933854,0.14050031074332456,0.0170733895136796,0.0,0.0,0.018316674271771378,0.01620775080041289,0.0,0.060593006266888016,0.0,0.01695497071842191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03421315030014777,0.0,0.034173547220566744,0.044357517924892495,0.016357701528232974,0.05700096118920912,0.0,0.0,0.0,0.0,0.0,0.016122125993876902,0.06085682821958974,0.0,0.0826156162946118,0.0,0.0,0.04925420273097009,0.0,0.0,0.0
0.008823332625803586,0.0,0.008468951816077932,0.009009596206803045,0.08886809192677103,0.0505180953421531,0.0,0.0,0.012551122610909717,0.0,0.0,0.061947384778718105,0.0,0.0,0.0,0.0,0.04188238769059222,0.03572393302949099,0.0,0.0,0.0,0.06617853963463338,0.07386425282186453,0.02905957823752691,0.020921651664198865,0.0,0.03518820284801197,0.0,0.0959086932347073,0.011287522174140729,0.032960662601103204,0.08197121768793432,0.010622455523276493,0.0,0.0379959504959993,0.0,0.008637932171838022,0.0,0.03295670469806048,0.0,0.019969515629856622,0.12468422454952806
0.03313285229513908,0.0,0.08600671951511667,0.05692334448650738,0.06567647335277932,0.01512596680963874,0.0,0.09746039140931581,0.029306804195704802,0.025932512207880294,0.04723836368593582,0.0853932311036428,0.0,0.027128069190731154,0.0,0.0,0.022473521345501103,0.0,0.0,0.0,0.03604179251495083,0.0,0.0,0.02670383459092353,0.0,0.0,0.0,0.0,0.0815715237859146,0.0,0.0,0.0,0.025795511931399288,0.0,0.0,0.02458645361681123,0.0,0.0,0.0,0.21350263396210767,0.0,0.0
0.0,0.0,0.0,0.0,0.03176280665583178,0.0,0.0,0.0,0.0,0.0,0.0,0.03026568114515231,0.0,0.0,0.0,0.0,0.0,0.0,0.8128993817949851,0.0,0.0,0.0,0.0,0.05019330460497869,0.0,0.022938704561490712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05194012123756134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07672133512710297,0.029577511347693083,0.026776661685896142,0.03755772142500424,0.11579130375021877,0.0,0.0,0.08991703853981525,0.011077636671885327,0.020068474910679247,0.0,0.13714483247897416,0.0,0.02597314754835391,0.0,0.0,0.0,0.0,0.0,0.009692920521298196,0.0,0.05176520709282959,0.0,0.038021232729298464,0.013413364783034917,0.0,0.02471845080396069,0.0,0.12292869805382348,0.0,0.0,0.0,0.009750408370463138,0.026573977201737375,0.0,0.024414716549819318,0.0,0.0,0.009861671663652661,0.09825368874445903,0.0,0.0
0.08081243711140858,0.02683771450254698,0.05814287702255736,0.059938668131741944,0.09841623013566146,0.0,0.0,0.02081193622294685,0.04436103032938728,0.03925344274622701,0.0,0.14533870600930146,0.0,0.04106312964427953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404209755621364,0.0,0.0,0.0,0.0,0.11438689528650851,0.02059009077548857,0.0,0.0,0.053625472755328286,0.0,0.0,0.0,0.0,0.0,0.0,0.1260349306200221,0.029965463144457714,0.0
0.0,0.0,0.28097409898418996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1496414917650814,0.0,0.15706299690612813,0.015171463850034012,0.0,0.0,0.06039569935629792,0.0,0.0,0.10430824921495384,0.0,0.032557650544169835,0.0,0.0,0.0,0.0,0.0,0.06380154468109289,0.0,0.11179583639487871,0.0,0.0,0.024290968303173326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
