t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29
0.5018789725075827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4981210274924173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12604046410588104,0.0,0.0,0.05555064124397468,0.0,0.0,0.0,0.0,0.0,0.0,0.0314041752043319,0.0,0.14696863780269012,0.06410359135819145,0.0,0.0,0.0,0.0,0.0,0.0,0.13262340562852998,0.0,0.024446571366535816,0.0,0.0,0.19195278319238482,0.18098345945732477,0.0,0.04592627064015546,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5165078880103147,0.0,0.0,0.0,0.4834921119896853,0.0
0.0,0.0,0.0,0.035902575937235705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4237507753953791,0.0,0.0,0.0,0.0,0.08082430299997792,0.0,0.18294153421960124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061392267806042636,0.21518854364176343,0.0
0.0,0.12140413297452457,0.058459119462623464,0.0,0.0,0.05570790465400044,0.04950809174801191,0.05006901939150906,0.10840381225434807,0.0,0.0,0.06351236396129964,0.0,0.0,0.0,0.0,0.0,0.0,0.17084918570953983,0.0,0.0,0.0,0.0,0.3220863698441431,0.0,0.0,0.0,0.0,0.0,0.0
0.4777580831096129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24696987244452084,0.04256447120133635,0.0,0.0,0.0,0.0721454588555196,0.0,0.0,0.0,0.0,0.0,0.16056211438901025,0.0,0.0,0.0
0.0,0.0,0.06322788881162432,0.0,0.0,0.0,0.0,0.06990178036818846,0.0,0.0,0.030196165365634357,0.0,0.0,0.0,0.4695667151943118,0.20315075872041577,0.0,0.0,0.0,0.044057301412905925,0.0,0.0,0.031596405695825766,0.0,0.0,0.0,0.0,0.06096236573051791,0.0,0.02734061870057567
0.0,0.0,0.0,0.05172318405833195,0.0,0.0,0.0,0.0,0.0,0.0,0.07135404043294098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876922775508727,0.0,0.0,0.0,0.0,0.0
0.0,0.25310637717457357,0.3179414905439781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4289521322814483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.130672943544113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27064174736360586,0.0,0.0,0.0,0.11647103594630327,0.0,0.0,0.0,0.0,0.36286259147358607,0.0,0.07953242774374543,0.0,0.0,0.039819253928646534
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.04855089137536301,0.0,0.1098788998301237,0.0,0.0,0.0,0.0,0.0,0.0,0.32812183306087933,0.06290402270833725,0.0,0.0,0.0,0.051889944560459006,0.0,0.0,0.0,0.0,0.0,0.0,0.28269363651627666,0.04748589847793537,0.0,0.0,0.0684748734706258,0.0
0.0,0.3549863598267606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30328308945654026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07276380481222026,0.17993486334677333,0.0,0.08903188255770554
0.6012600581970212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28456978820609113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11417015359688763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.06037260106017589,0.022011666048093268,0.10024169163666162,0.0,0.024971129290958523,0.0,0.03142088991225302,0.0,0.0,0.0,0.35048399397830254,0.03517946424492881,0.023879509163738166,0.042401073848822024,0.0,0.0,0.019698365117007312,0.0,0.0,0.0,0.0,0.0,0.05796582476677838,0.0,0.0,0.0,0.020544663433109896,0.0,0.21082912749917043
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1712871433120457,0.0,0.09772391975206875,0.0,0.0,0.0,0.0,0.0,0.0960452291996208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25971687436589125,0.09118072059398201,0.2840461127763915
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4282031263517308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5717968736482693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5618473252990116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43815267470098845,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.07930751244761212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289257083921862,0.0,0.0,0.17202575504470027,0.0,0.0,0.07416673253915998,0.18341350021277195,0.0,0.0,0.0,0.0,0.0,0.0,0.20182941583389372,0.0
0.0,0.31034093291829296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203455308004099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15189423181465928,0.1462696246009794,0.0,0.0,0.0,0.0,0.0,0.0,0.1880399026619694,0.0,0.0
0.0,0.0,0.5455413645785949,0.0,0.0,0.0,0.0,0.2101399956823668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2443186397390383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.523562632421954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2246476640089502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25178970356909575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13777349404336095,0.0,0.0,0.33378543391105303,0.0,0.0,0.0,0.041082962552132174,0.0,0.0,0.0,0.438653899251132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048704210242321744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.03046752621667166,0.0,0.45557212284932896,0.0,0.034596506719811244,0.0,0.09784114191265775,0.0,0.0,0.0,0.0,0.0,0.30763716092259386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03144810610816605,0.0,0.0,0.0,0.042437435270770624
