t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7352984840169833,0.0,0.0,0.0,0.0,0.0,0.0,0.2647015159830167,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10737488427545476,0.0,0.3865429622061049,0.0,0.3458345438426513,0.0,0.0,0.0,0.0,0.0,0.0,0.16024760967578905,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20295668737522368,0.0,0.38057607017883854,0.0,0.0,0.0,0.0,0.0,0.41646724244593786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1683469246442799,0.0,0.15790112632514428,0.0,0.0,0.5245393316134493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14921261741712652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.8074262000759422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1925737999240578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6630564762828107,0.0,0.0,0.0,0.0,0.33694352371718916,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.8702703015798281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12972969842017182
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.6018802024975444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39811979750245563,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.2525942353994973,0.0,0.0,0.0,0.0,0.7474057646005027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25546671847851954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7445332815214805,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43236985092074554,0.0,0.0,0.5676301490792545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6779232465604211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32207675343957887,0.0,0.0,0.0,0.0
0.0,0.27103739677854527,0.0,0.0,0.0,0.29486882488004684,0.0,0.06464103664764231,0.13507371593174322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0803400388545348,0.0,0.0,0.15403898690748757,0.0
0.0,0.0,0.42859936085820016,0.08216468456018405,0.0,0.0,0.10371198269259455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13438285852407086,0.0,0.2511411133649503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
