t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31
0.18145589698907105,0.039637283860349835,0.0931589461722783,0.02590280812783607,0.033459776724071605,0.03024162765714786,0.0,0.0,0.04455962062806043,0.0,0.04384552438646471,0.0,0.064963168368156,0.02458035811361139,0.0,0.07727816163870056,0.06398110487474754,0.0,0.06937514417529222,0.0,0.03011275911331439,0.029327642430039453,0.04494702176414415,0.0,0.0,0.03669878196574886,0.0,0.04199368211779653,0.02448069089316901,0.0,0.0,0.0
0.05041395221657869,0.08053846268045131,0.09800774998965067,0.018779566519316927,0.0,0.016912593134012915,0.022423166043710314,0.07345055485341062,0.025125152113849258,0.0,0.028737182401509857,0.0,0.04149424686611757,0.09965970734887518,0.008344933189035687,0.0342057577370567,0.06008668776456284,0.0,0.008148488447641879,0.008454856137193444,0.04370803485846442,0.011091232403504764,0.041403209491043744,0.07159902747540958,0.0,0.08536159639173355,0.02698137647952323,0.0,0.017407332179017354,0.0,0.0,0.027665133278329514
0.034103633587037614,0.06342307516199593,0.04441671380382444,0.12940963001929276,0.02738322429008294,0.0,0.0,0.0,0.041321555313333695,0.06563884444318716,0.16601223030649973,0.0,0.0,0.06465023195510675,0.0,0.0,0.020511989765575056,0.0,0.041494912373797675,0.0,0.0,0.04044721038201799,0.0,0.028847941490052164,0.02204732843776317,0.032790168702117886,0.02293386285468946,0.0,0.022701724309871874,0.10074550918997004,0.0,0.0311202136137837
0.22307418436407736,0.06375851274736402,0.027947234026550465,0.015113826464045554,0.045446106723557436,0.0,0.0,0.0,0.025999743740234834,0.013351162413547162,0.05450898138068943,0.0,0.09083619058896579,0.01434220047184715,0.0,0.06640884954824244,0.07881487509679148,0.0,0.08832164864472666,0.0,0.0,0.01711215618397993,0.0,0.0,0.0,0.04380189782983152,0.013752465885261302,0.049612434353203984,0.06779752953708347,0.0,0.0,0.0
0.034219949995115,0.054054199199813906,0.059329401277155594,0.0,0.0,0.0220563606080731,0.0,0.1394744483475192,0.0,0.0825868194367665,0.0,0.10039523384163238,0.09953584515048101,0.028568122549097078,0.047590596130763566,0.010645544619460183,0.029218636225535524,0.018800139656397964,0.0,0.03077516339777045,0.04178709525547951,0.009711730738267187,0.016786676493477568,0.01734017585707154,0.05841890079835267,0.020381039184476528,0.056220283211966274,0.0,0.0,0.0,0.0,0.02210363802532713
0.0795342514498667,0.0857220614216579,0.25162449683512267,0.05601902787160821,0.0,0.055090658251271934,0.0,0.0,0.09636741381831551,0.0,0.060462951164616884,0.0,0.0,0.0531590150174015,0.0,0.0,0.047836713574485996,0.0,0.04659755404602323,0.0,0.0,0.06342578806856909,0.0,0.0,0.026157338240938723,0.025059261767801037,0.0,0.0,0.05294346847232064,0.0,0.0,0.0
0.0,0.046953745358348266,0.0,0.0,0.048216352286086485,0.0,0.27930224886020455,0.0,0.0,0.09240838621226002,0.0,0.0,0.0,0.10038544828396924,0.0,0.0,0.0,0.0,0.03788229329097826,0.15466581637107404,0.0,0.0,0.0,0.05079542477824669,0.1016585932475688,0.0,0.08773169131126353,0.0,0.0,0.0,0.0,0.0
0.07514515228705845,0.05597613764440475,0.0,0.16454783669855821,0.01875588339678252,0.0,0.0,0.0,0.09570203283021196,0.0,0.18829085426797673,0.0,0.06035991926921914,0.0,0.0,0.027407334278772493,0.027200887078522324,0.0,0.025291744977233417,0.0,0.0,0.0,0.0,0.0,0.0,0.26132221727126,0.0,0.0,0.0,0.0,0.0,0.0
0.22747403846863318,0.03365554088110098,0.06812006377437371,0.06488048490124522,0.02908948540604587,0.015268534707107338,0.02297843455597834,0.02978183301586823,0.07277710448143342,0.0,0.015022823390617557,0.0,0.12361791939476796,0.013208063431295953,0.0,0.052105069137869296,0.07788288520528366,0.0,0.06018739348139915,0.012724488807494397,0.011924686088321895,0.015758979576942212,0.0,0.012921117151390615,0.0,0.027466546113923455,0.0,0.0,0.013154508028907613,0.0,0.0,0.0
0.1286620515534656,0.10583266019867536,0.1278871987502704,0.06916122457944236,0.0,0.01530840417173055,0.033636543958669225,0.0,0.11897543749784534,0.0,0.07464770280941105,0.0,0.0,0.06563024593120109,0.0,0.0,0.05905931995553755,0.0,0.05752945066479957,0.0,0.0,0.07830562827316861,0.0,0.0,0.0,0.0,0.0,0.0,0.06536413165578334,0.0,0.0,0.0
0.1735402973389355,0.062098084790099796,0.06435962269664353,0.025027848092450528,0.040722170319961754,0.007305027116521145,0.03591425569929247,0.0,0.04305445998875523,0.018227279369271796,0.0731500908197255,0.0,0.03829067331069064,0.023750068559724658,0.0,0.050100724950355106,0.053760137460161186,0.0,0.07561418750891959,0.0,0.02986217147819502,0.028336996360635643,0.0,0.01001924647820651,0.0,0.055251646994255464,0.007965213903312828,0.02715458941286516,0.037533924977764956,0.0,0.018961282373256026,0.0
0.08082790193365329,0.06344063314259936,0.11496039496823159,0.04795980125743704,0.0,0.004872242556195468,0.014259897575072258,0.0,0.0983582250734101,0.02177592397312552,0.03603415542315356,0.0,0.009882843477157344,0.03645343194305946,0.0,0.02153918792323366,0.02850928607806123,0.03695541931048774,0.06398261613629336,0.0,0.020551856717674778,0.037799919803390224,0.0,0.0,0.00981724210605705,0.14455745930737984,0.030488552148725593,0.008860517757918972,0.031552763052837364,0.0,0.0,0.03655972833484536
0.034586490458653335,0.0,0.02966227805795629,0.007542610988549074,0.00815830300382436,0.03548542521062134,0.020682860318315406,0.0,0.0,0.020955926803658112,0.016768919313066177,0.051224297893294135,0.038427093833840076,0.0,0.0,0.04865166744311258,0.009589972920734968,0.06749131164168866,0.022610730532367906,0.008240350064419096,0.13559509962185098,0.0,0.035175113596755875,0.0,0.04069371032974058,0.07180819052137052,0.018337705892052275,0.09739735283987902,0.08155539124733531,0.0,0.039239344019901035,0.06011985344701298
0.021891201844240833,0.03491540764040319,0.1624255616217923,0.0,0.019029559542967995,0.24867238776988335,0.017640718491961582,0.031404887820786376,0.0,0.0,0.0,0.0,0.0,0.04765779270967584,0.0737530204456672,0.0,0.02480562514197678,0.0,0.0,0.0,0.0,0.06651182705458342,0.0,0.13949327433417236,0.0664385010699475,0.0,0.020245700288818697,0.0,0.0,0.0,0.0,0.025114534223122625
0.14675480648480654,0.034414140624863115,0.04196436116900597,0.049365143466516694,0.023721376740258426,0.04695498178865826,0.010332096800746548,0.03572687707160592,0.10425111127146756,0.0,0.041583736824020286,0.0,0.07049984273559132,0.016044850390548274,0.015950862197451628,0.03260970522345432,0.03905381606800176,0.02973350780803811,0.05003104167996124,0.0,0.02275478056416425,0.019143644405933493,0.0,0.0,0.0,0.029398171134605983,0.0,0.007243134120959918,0.015979792524692598,0.0,0.11648821890464785,0.0
