t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33
0.11876005961196152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1253838377137741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7558561026742643,0.0,0.0,0.0,0.0
0.18324186715854263,0.0,0.03420492301845251,0.0,0.26489582652269594,0.0,0.09806537958069497,0.41959200371961397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6216718900528571,0.0,0.0,0.0,0.0,0.37832810994714294,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.03697841325029768,0.0,0.0,0.0,0.048523052844426116,0.050404747036981924,0.05564817125685463,0.1825280752791688,0.1768488730691635,0.11640149837512126,0.0,0.0,0.0,0.0,0.0,0.0398607054411689,0.0,0.0,0.0,0.029055116754785674,0.0,0.0,0.0,0.0,0.03558233028080974,0.0,0.0,0.22816901641122178,0.0,0.0,0.0,0.0
0.0,0.0799320028827041,0.0,0.0,0.0665159006913428,0.09442381527558391,0.05960176449810694,0.0,0.0,0.0,0.0,0.0,0.0,0.09796924475324491,0.0,0.0,0.0,0.0,0.0796927590765522,0.0,0.0,0.0,0.08393435091626243,0.0,0.0,0.09691087203649117,0.0,0.08721353619916368,0.0,0.0,0.0,0.0,0.0,0.25380575367054775
0.8327658006368119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1672341993631881,0.0,0.0
0.0,0.10348054341692371,0.0,0.0,0.026879695462424677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07178185531867322,0.0,0.08638295814276187,0.0,0.38982866636475816,0.025250963001713703,0.0,0.027913069194566386,0.03261062970102424,0.03097685991067673,0.12619400307043946,0.0,0.0,0.0,0.0,0.0,0.07870075641603791,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.15113843428228105,0.0,0.0,0.0,0.0,0.10910367498399592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03976460606159768,0.0,0.0,0.0,0.0,0.6619914201566226,0.0,0.0,0.0,0.03800186451550277,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11183060275220359,0.0,0.0,0.0,0.0,0.0,0.25481158511679763,0.0,0.0,0.0,0.0,0.0,0.0,0.24156116654372883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3917966455872699,0.0,0.0,0.0
0.0,0.0,0.14618135082230832,0.0,0.0,0.0,0.029327124794270402,0.0,0.0,0.0,0.0,0.0,0.024667567989006694,0.0,0.0,0.0,0.0,0.4467629698119675,0.0,0.0,0.0,0.09393239430178635,0.0,0.18180403687630148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07732455540435927,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.03556232164854143,0.0,0.0,0.0,0.0,0.0,0.15186907333140956,0.0,0.2585691598990791,0.0,0.0,0.032999739014209925,0.0,0.0,0.03627827467165478,0.14054850967759444,0.0,0.0,0.0,0.033382513889884405,0.0,0.03689442398516622,0.03807956014929456,0.03999244538427653,0.0,0.0,0.043011642879615286,0.0,0.0,0.0,0.04015250809308494,0.11265982737618896
0.0662076644533593,0.46987942429432167,0.06686446078205129,0.0,0.09517536155959497,0.0,0.0,0.0,0.0,0.07709772485196344,0.0,0.0,0.06467492592714576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16010043813156358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5351516905087798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4648483094912202,0.0,0.0,0.0,0.0
0.0,0.2474556829439763,0.255985563878183,0.0,0.0,0.0,0.12011061752970867,0.044802851883588034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08705529780235519,0.0,0.0,0.0,0.03414491791393811,0.0,0.0,0.042550335536345366,0.0,0.0,0.12302807214901676,0.0,0.0,0.0,0.0,0.04486666036288862,0.0
0.23160175389325263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7683982461067473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12093983875517363,0.14794157561517735,0.0,0.0,0.09065533260886144,0.0,0.0,0.0,0.0,0.07336490515522795,0.0,0.0,0.0,0.3618611703613659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2052371775041937
0.0,0.0,0.04948047119616492,0.0,0.0,0.0,0.15933829876504998,0.0,0.0,0.051967078798936514,0.0,0.0,0.133348158800559,0.0,0.0,0.0,0.0,0.6058659924392895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19109982461146344,0.20660349102894499,0.05666417284567431,0.09936853875804666,0.058193672850952026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38807029990491854,0.0,0.0
0.0,0.4215625634118536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1421878528765648,0.0,0.0,0.0,0.43624958371158157,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.20687883148299202,0.0,0.08941396875627046,0.0,0.0908317551250433,0.06856366667003684,0.0,0.06707050215505803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07743098627246169,0.1373787091341362,0.052489804670445464,0.0,0.0,0.0,0.0,0.14132484482379945,0.0,0.0,0.0,0.0,0.0,0.0686169309097566
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1514654112602411,0.0,0.33100833132458984,0.0,0.48777043872456566,0.0,0.0,0.0,0.0,0.029755818690603363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1909522404330847,0.0,0.07134983144906916,0.0,0.10843158816520038,0.32421825628695367,0.0,0.0,0.0,0.0,0.0,0.12757610830435678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03637276441158501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1410992109497503
0.31769993259125484,0.15020804292372,0.06296766559043979,0.0,0.0,0.16416193535353762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12084237294669255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12304392892668307,0.0,0.0,0.0,0.061076121667672185,0.0,0.0,0.0,0.0
