t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32
0.12022545772400858,0.03976198757294259,0.04793286145714439,0.02922312898806624,0.07499712489869813,0.12507721709877376,0.03799004284307465,0.06373326485729808,0.1154732719952201,0.03531590830082365,0.0351861367746571,0.03165179188851736,0.04814605042202945,0.0,0.0,0.0,0.03139203252588958,0.025337299537463838,0.03129542252836391,0.029409516275916182,0.0,0.0,0.03780424595361441,0.0,0.026130864297764428,0.013916374059733517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04439284758935732,0.01946957915790697,0.06317019290088044,0.11149009028732075,0.05035875788985815,0.02817748177965066,0.016203203240080177,0.014386448532361843,0.03596108409453948,0.05629013746963302,0.015007304091444556,0.1700156655572678,0.012699377892487738,0.04225811783236459,0.051208712580432685,0.01713938954256926,0.013389073690632079,0.008808622747961696,0.038259895172236144,0.03256651568176884,0.015040250847148509,0.0,0.0,0.0,0.0,0.07137135729682756,0.01810078696362176,0.0,0.024302148930085324,0.029932958231562706,0.0,0.0,0.0
0.055591114919416755,0.0,0.07229973727678755,0.03143746027461537,0.03398076056757242,0.031426223270816046,0.19832444342740194,0.05945842060187259,0.04492664993628727,0.030508367207382734,0.061515497476402926,0.03405015084188979,0.0546774263710611,0.048489519753360286,0.0,0.0,0.03377070866966706,0.0,0.033666778219215154,0.0,0.027921684901195485,0.0,0.0,0.023128944712016535,0.0,0.0,0.0,0.0,0.10474526770104786,0.0,0.0,0.0,0.020080843871991088
0.1105266834134725,0.05943939030772575,0.05736073339416016,0.013768708032587704,0.057339584075458666,0.07770710041208581,0.22442600536877172,0.02981327245862779,0.046723149243874176,0.07874055930285984,0.016578226248215634,0.014912991740179205,0.014028712860777663,0.03185553322178696,0.0,0.0,0.014790604064848016,0.026315029526898716,0.030131304037462073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06418836980335832,0.031354042486849275,0.0,0.0,0.0
0.1400648773666762,0.05329931597333243,0.011783567750980222,0.0143896670455126,0.0,0.0,0.1112975135965428,0.04746025490063939,0.0,0.0,0.011030823083896328,0.011484375845176704,0.0,0.036696864055914144,0.012350282445564645,0.05763995374183668,0.0,0.022825308563185338,0.0,0.0,0.0,0.0,0.0,0.026829802361292537,0.06540533262532457,0.0,0.04454502722828723,0.0,0.02747351137364994,0.0,0.0,0.08814653267834678,0.21727698936384138
0.13786691642659044,0.006966665024092706,0.044347428086750684,0.04892400575846181,0.09027292182576685,0.09285974992580237,0.051106261101706185,0.031207399631960075,0.12308930634212169,0.05198248258349316,0.032554173125253716,0.055447748160425456,0.051808323235895716,0.0,0.02627978755163663,0.0,0.029043872254184526,0.0,0.02895448879599976,0.0,0.0,0.04409771571312676,0.0,0.0,0.0,0.0,0.0,0.0,0.025383441915826935,0.0,0.0,0.027807312540904686,0.0
0.13692213741089101,0.4192026582250938,0.0,0.3121740200940961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1317011842699192,0.0,0.0,0.0,0.0,0.0
0.17979340756547493,0.025882744653401586,0.05608453406678869,0.04450319683270616,0.03421736121236319,0.07833241028660164,0.023436878813675635,0.009873601921130643,0.028578440759363326,0.008301399982932684,0.010299702958305611,0.1363512578897842,0.05086523568325218,0.043536810776987345,0.033258286677754496,0.023525960438929253,0.009189090929328994,0.012090938815253416,0.043355690505764405,0.03855781783117876,0.0,0.0,0.0,0.0,0.0,0.03935684880809386,0.0,0.0,0.009677682840980164,0.021005438254433274,0.0,0.03992526149551555,0.0
0.21638947404151115,0.0,0.07835240674428173,0.0477689505530719,0.05163347347809895,0.047751876022427066,0.06209959511252194,0.05513679090051241,0.06826565824894498,0.04635720162678619,0.05751625120049962,0.06926195944077354,0.04867100743102807,0.0,0.0,0.01682808442860563,0.06675304106005044,0.0,0.05115637999973911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016057849711147244,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.07344938314779513,0.15732824071188425,0.09480309079052807,0.0,0.0,0.0,0.03591602644887914,0.0,0.0,0.0,0.0,0.11200730429252792,0.04542456377720785,0.0,0.0,0.013556737460933005,0.0,0.14919657820612522,0.0,0.056573188330155906,0.0,0.0,0.0,0.10868319039186272,0.0,0.0,0.09392094470053772,0.05914075174156314,0.0,0.0,0.0
