t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34
0.06180492487040257,0.0480214325478094,0.2038246827024917,0.0,0.06685418086499394,0.05315315397494567,0.044991637626506924,0.19175885965555273,0.0,0.0,0.0,0.0,0.023062065323955553,0.0,0.0,0.09108113908743427,0.0,0.01294398393736666,0.0,0.0,0.04267794342607784,0.0,0.12960988420127412,0.0,0.0,0.012073175474374252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018142936306814298
0.026541308169304015,0.04494988726565995,0.039770755350187606,0.026500912066428843,0.0,0.023872628704177435,0.038013095038842495,0.030594582231873793,0.022698301239260154,0.0,0.00811501536151738,0.013495190670161918,0.0,0.0,0.033124118851776824,0.05799572057170728,0.04015692618757331,0.0,0.0,0.0,0.012989152984661616,0.055070504648383985,0.058424818608101045,0.012010676567261357,0.006381542416800347,0.033875504139313915,0.0,0.023487217290502266,0.2758107993073725,0.0,0.0,0.0,0.02633945538422894,0.059164649139598686,0.03061723780530426
0.05297257080910124,0.21463610567197644,0.05349273849885957,0.0,0.0,0.04555719820983467,0.03856201936957453,0.05092041511348613,0.0,0.0,0.0,0.0,0.0,0.0,0.03113149599773925,0.07458630001816449,0.0,0.0,0.0,0.04072851053241487,0.03657896817875381,0.0,0.0,0.061145845465242224,0.0,0.03959513926748167,0.1290878078424699,0.0,0.0,0.0,0.09138576733520792,0.0396191176896933,0.0,0.0,0.0
0.15102694205258665,0.24610321500661014,0.1373745121235648,0.0,0.06708550063990124,0.047822844594589554,0.021117195723503072,0.07071954865086945,0.0,0.09324497302520769,0.0,0.0,0.04129047960804229,0.0,0.0,0.03262165490341907,0.0,0.0,0.0,0.0,0.020031244292252882,0.04750058269752715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02406130668192603
0.01670314504210808,0.07220650490199454,0.09414589472023772,0.012228430735323228,0.009966728819829665,0.0,0.04087919627166175,0.010461870888393001,0.11819333749608903,0.0,0.01036520781794229,0.0,0.010320597755838228,0.0,0.009837903212846768,0.0,0.0,0.0,0.12526230980131386,0.011734587443870634,0.0,0.044075041565118184,0.20051592761413822,0.05078099594941434,0.0,0.010211883142511136,0.0,0.05020618541303463,0.03983777141654705,0.0,0.0,0.021226588207119097,0.027862029304497726,0.012977862480170691,0.0
0.05727143458239774,0.044498983511133544,0.10425382447046434,0.04109688505141962,0.0,0.22368346085451296,0.08081856663704667,0.055052741041964094,0.11350619258073666,0.019573256583256624,0.0,0.0,0.0,0.0,0.03241301616519191,0.06440454612948725,0.0,0.0,0.0,0.0,0.05433306807625664,0.0,0.08077303289539538,0.0,0.0283209914207366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.5153534372572514,0.0,0.0,0.0,0.0,0.11510393148348622,0.0,0.0,0.0,0.28587941639833575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08366321486092676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.028886320794290044,0.047016864177071384,0.1413078212110231,0.0564185043192234,0.03459210286544936,0.026607107245758908,0.1427165548185434,0.03789886715657369,0.12063587747697743,0.0,0.013679514964128277,0.0,0.02184221498881781,0.0,0.0,0.03219172735700962,0.0,0.010467188033620668,0.0,0.0,0.010947934459104077,0.025127292034927744,0.0719332746717236,0.020246447173753106,0.03136044164792617,0.0,0.044886294022765415,0.0,0.0,0.0,0.0,0.0,0.0,0.06808711411384011,0.013150536467472862
0.07600429755695708,0.05905411674115471,0.17445077544949836,0.0,0.016547469189842377,0.06536482552601819,0.09438789725448911,0.0730598935051919,0.18679889365543417,0.0,0.0,0.0,0.0,0.0,0.0,0.08547057226240312,0.0,0.0,0.0,0.0,0.05248298769193978,0.0,0.1163782711670712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.063916587963375,0.0,0.05583912326969659,0.0,0.23505531247584108,0.0,0.018187593449033316,0.0,0.04397816402587717,0.0,0.0,0.02965802643591516,0.043211943593499516,0.03107341431229675,0.0,0.0,0.0,0.0,0.0,0.054616468514256944,0.11603708920950731,0.0,0.033986999453907395,0.04570570573016261,0.0,0.0,0.0,0.0776687904283014,0.0,0.0,0.0,0.0,0.08655229523963653,0.06451248589869321
