t_0,t_1
0.0,1.0
1.0,0.0
0.0,0.0
1.0,0.0
1.0,0.0
0.34734832003904986,0.6526516799609502
0.4654143493448855,0.5345856506551145
1.0,0.0
1.0,0.0
0.3338633957506212,0.6661366042493787
0.8535575853852111,0.146442414614789
1.0,0.0
0.0,0.0
1.0,0.0
0.12027872844186031,0.8797212715581397
0.6519639987083296,0.3480360012916704
0.29089052217242795,0.709109477827572
0.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
0.0,1.0
0.5833524733828364,0.4166475266171637
1.0,0.0
1.0,0.0
0.5389832883419758,0.46101671165802416
1.0,0.0
1.0,0.0
0.0,0.0
0.5396367130263608,0.46036328697363915
1.0,0.0
0.0,0.0
0.7652034981864032,0.2347965018135967
0.16045078629195297,0.839549213708047
1.0,0.0
1.0,0.0
0.0,0.0
0.8852983339404673,0.1147016660595327
0.0,1.0
0.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,0.0
0.699679357170816,0.30032064282918397
1.0,0.0
1.0,0.0
0.0,0.0
1.0,0.0
0.8899671189488623,0.1100328810511377
0.0,1.0
0.0,1.0
0.2856929429995174,0.7143070570004826
1.0,0.0
1.0,0.0
0.4806370655852982,0.5193629344147019
0.0,1.0
0.0,0.0
0.46417085997220714,0.5358291400277929
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.6622646790413071,0.3377353209586927
0.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
0.5866223534406634,0.4133776465593367
1.0,0.0
0.0,0.0
0.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
0.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,0.0
1.0,0.0
0.0,0.0
1.0,0.0
1.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
0.0,1.0
0.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
1.0,0.0
0.0,1.0
1.0,0.0
1.0,0.0
