t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32
0.0,0.0,0.8177828663071594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1822171336928407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.024856895249963637,0.23823243777625297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13734889173669146,0.1949164183238354,0.0,0.0,0.16024988014726319,0.0,0.024086484156210515,0.0,0.0,0.0,0.0,0.0,0.051339737465142574,0.0,0.0,0.16896925514464026,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14048354710221936,0.07376953960924651,0.0,0.0,0.04121167330110515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06783642463382562,0.23347750524233035,0.23641491614863908,0.0,0.0,0.06380116067862893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08574371275714342,0.0,0.0,0.0,0.0,0.05726152052686161
0.0,0.0,0.0,0.0,0.1213028422510657,0.08884708039991983,0.15276297030949232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11815957401698877,0.0,0.10496922650364217,0.0,0.0,0.0,0.0,0.3345619792099666,0.0793963273089246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15351493214803724,0.1272909058777256,0.0,0.10236078200093081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2176682394758502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39916514049745605,0.0,0.0,0.0
0.11522086294232199,0.0,0.0,0.2715439158692814,0.06705505401886348,0.0,0.0,0.20912250381132425,0.0,0.0,0.0,0.03541599952395444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04210336605275789,0.0,0.0,0.0,0.0,0.0,0.25953829778149645
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8918856415727804,0.0,0.0,0.0,0.0,0.07088688517836905,0.03722747324885054,0.0,0.0
0.0,0.0,0.0,0.0,0.7047898085173998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29521019148260025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017390968029478877,0.0,0.0,0.0,0.0,0.0,0.0,0.06552253313213097,0.0,0.0,0.026193286770503185,0.1592725515863996,0.04479843159465978,0.022757907273998658,0.0,0.13615488133882198,0.07267748785565517,0.4552319524183516,0.0,0.0
0.0,0.0,0.09794754137428119,0.0,0.0,0.0,0.0,0.0,0.13364253776411414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7684099208616048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3542094189429489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6457905810570511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03587466427664488,0.28470364935680287,0.0,0.0,0.0,0.030452658737866338,0.0,0.027544213400380275,0.0,0.0,0.0,0.0,0.09868056849527461,0.025314110574789828,0.02538070449359216,0.0,0.0,0.0928105341696633,0.0,0.0,0.04187798937601546,0.0,0.0,0.0,0.026950196887526565,0.0,0.025868687459900317,0.17831131360417585,0.0,0.05823449028107908,0.023788328139092173,0.0,0.024207890747196353
0.0,0.0,0.08813902127244715,0.0,0.1299062332542258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16705705828139483,0.0,0.0,0.0,0.0,0.11252099072927033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5023766964626618
0.0,0.0,0.25422922438542433,0.0,0.0,0.0,0.0,0.0,0.0,0.7457707756145758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.031145069067333716,0.04002114127452075,0.0,0.0,0.021372230459243448,0.07279585417687656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06915193965877135,0.0,0.0,0.07029199495395036,0.0,0.0,0.03635693595511052,0.0,0.0,0.0,0.0,0.0,0.022458246616801934,0.046517319476742966,0.0,0.0,0.5688728645977638,0.0,0.021016403762884543
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09731845718926585,0.20345313891485056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3976430057673918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0953282240779448,0.20625717405054694,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0948804130940025,0.12531965928402014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20333127953242586,0.0,0.30975671490424117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26671193318531033,0.0,0.0
0.0,0.0,0.12187819057571542,0.0,0.0,0.0,0.0,0.0,0.0,0.7635364026391968,0.0,0.11458540678508791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13045026033940335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28995234344976917,0.0,0.14992634147570627,0.0,0.0,0.0,0.0,0.0,0.0,0.19586724754188936,0.23380380719323182,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5914570899503995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4085429100496005
0.0,0.0,0.0,0.17654415811241714,0.0,0.15226608442263567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6711897574649471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.5015739424469597,0.0,0.0,0.0,0.0,0.0,0.0,0.49842605755304015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.180658090396222,0.0,0.0,0.0,0.0,0.0,0.03847576111928293,0.0,0.0,0.14132811094881717,0.0,0.4934371665981242,0.0,0.03813545503878179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04135706472092722,0.06660835117784467,0.0,0.0
