Word,phi
issues covid,0.5672902464866638
covid,0.3870789110660553
virus,0.37952399253845215
result covid,0.3625440001487732
covid people,0.34521549940109253
result covid job,0.3309958875179291
covid job,0.32464659214019775
depressed concerned,0.311499685049057
ve depressed,0.30211400985717773
depress,0.29206475615501404
