Word,phi
depression anxiety,0.5608090162277222
depression feeling,0.5438759922981262
depression,0.5293810367584229
ve depressed,0.48676687479019165
suffered depression,0.46491101384162903
depressed feelings,0.4543195366859436
anxiety,0.29811036586761475
self destructive,0.25682929158210754
medication,0.17952902615070343
sad feeling like,0.16686393320560455
