Word,phi
depressed couple weeks,0.5625370740890503
don think depressed,0.5609422326087952
feel depressed weeks,0.5465258955955505
weeks felt depressed,0.5400934219360352
depressed weeks days,0.5223274827003479
felt depressed weeks,0.5124192237854004
believe depressed weeks,0.50771164894104
depressed weeks,0.49782076478004456
depressed weeks felt,0.48558321595191956
don believe depressed,0.48443782329559326
