t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19
0.1851706936315878,0.0,0.0,0.18909564751373825,0.0,0.0,0.0,0.0,0.23207644696253799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06760665129775155,0.0,0.3260505605943844
0.4375534392506002,0.0,0.0,0.0,0.0,0.0,0.0,0.17258826189265014,0.0,0.0,0.0,0.0,0.07291451598382714,0.0,0.07590880961243977,0.0,0.07688077886688839,0.1641541943935944,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.43529916875233254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5647008312476675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.08840676293968812,0.13946059259349686,0.0,0.23606626378287843,0.08101518476835735,0.18115054135586633,0.0,0.0,0.27390065455971296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6806781858556431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20096787380349418,0.0,0.06361973173814801,0.05473420860271474,0.0,0.0
0.0,0.22550799663922694,0.1487426481552938,0.23589642304343716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3898529321620422,0.0,0.0,0.0
0.4962467356467936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5037532643532064,0.0,0.0,0.0
0.0,0.0,0.26737182384655833,0.0,0.0,0.0,0.0,0.0,0.0,0.7326281761534418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2768752253588042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43207125408357916,0.1780626119106907,0.06184744601988001,0.0,0.05114346262704602
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7237562098130681,0.0,0.0,0.0,0.0,0.0,0.0,0.27624379018693185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.20132250472378085,0.0,0.0,0.3834968867253494,0.2188755665526355,0.0,0.0,0.0,0.0,0.19630504199823434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
