t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35
0.06413074325960688,0.0,0.1300631589330434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8058060978073497,0.0,0.0,0.0,0.0
0.0,0.3656022532261779,0.055386804691194676,0.0,0.0,0.0,0.0,0.0,0.2000948933666413,0.0806734127381934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25644210780343846,0.04180052817435424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6125434792901708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38745652070982917,0.0
0.05711895047320672,0.0,0.0,0.0,0.0,0.052866059484890086,0.08180072327937792,0.0,0.0,0.06157940923661365,0.0,0.0,0.0,0.0,0.0,0.0,0.1378755603107896,0.0,0.2156513573313326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044882656599277544,0.0,0.0,0.30097318447540183,0.0,0.04725209880911005,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08969327007312401,0.05485685404890942,0.07403870585817807,0.0,0.0,0.07997243505005651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05747674782157983,0.0,0.17781472396288497,0.23456668666981936,0.0,0.0,0.0854654747047249,0.0,0.07000409880149286,0.07611100300923007,0.0,0.0,0.0,0.0,0.0
0.0,0.10262879696124441,0.11932425853999667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10650799302802305,0.07890374569600239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5926352057747334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.2895695182176014,0.0,0.0,0.0,0.035957023646534685,0.0,0.0,0.0,0.0,0.0,0.03526304441079187,0.4016879124041849,0.03724770361958249,0.10703649586105247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04267546219299403,0.050562839647258086,0.0
0.0,0.0,0.0,0.0,0.0,0.058306262395933665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24022186766449427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6337083680317084,0.0,0.0,0.03295038081253355,0.0,0.0,0.0,0.0,0.03481312109533025,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5023006109726855,0.1876022218935845,0.0,0.0,0.0,0.0,0.3100971671337298,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.021695003697908284,0.0,0.0,0.0,0.030259604991842357,0.0,0.0,0.0,0.02630766762221635,0.02361567871822368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2077980834830585,0.0,0.0,0.0,0.0,0.0,0.02511133345051274,0.0,0.6652126280362382,0.0
