t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35
0.03573806017334535,0.06816430672924768,0.06232444133502381,0.0,0.05689662430052545,0.02949684040434728,0.0,0.0,0.0336446771370281,0.013947721287100517,0.07562386080853731,0.03229340942624147,0.0,0.0,0.02258156040471833,0.041267401807782614,0.0,0.0,0.018000725006925372,0.031467398030193564,0.05444899379162383,0.0,0.055346839025343784,0.008952554969850604,0.032841178043274216,0.013876100646069646,0.013867468821869363,0.0,0.0,0.03285905345551591,0.02295733633877472,0.1849409696331587,0.0,0.03220357277116429,0.026258905652337954,0.0
0.048262035935892886,0.036394605712467484,0.0,0.06100193719334705,0.06714490129872645,0.06019880736214889,0.011479168157794192,0.0,0.028411378602542316,0.034481088881132216,0.029700955532912576,0.04236336344964952,0.12893498908231388,0.10769768207814692,0.046950163183006786,0.028164308255676132,0.011197332404246493,0.06610110599941262,0.01173842012739305,0.0,0.012839467378979964,0.010880948480444168,0.010688319123787107,0.021726342787664575,0.034672768314448245,0.01067841021909417,0.0,0.0,0.0119626268710936,0.0283813835917605,0.0,0.0260152229888666,0.0,0.0,0.011932266987051627,0.0
0.025201116174266732,0.027033977828375588,0.02569465783050963,0.02869279806370619,0.028775346919883673,0.03557908221146867,0.027388697887639386,0.0,0.04058220193849036,0.0,0.03377058900793052,0.03895230313194921,0.0,0.06912314024916134,0.0,0.0,0.0,0.0,0.03915228064920171,0.0,0.0,0.030976050651310313,0.0,0.028248583913957532,0.10049719570409474,0.0,0.32023738185843853,0.0,0.03334031739329102,0.0,0.0,0.0,0.0,0.06675427858632488,0.0,0.0
0.01134413037056482,0.08069048871561951,0.04174253420693726,0.0,0.059339763037774995,0.016015709156726985,0.0,0.0,0.05962168053279751,0.047090228412628846,0.06843661045970138,0.01753414419849399,0.0,0.016608779646283843,0.04456257072021076,0.0,0.05905069612975841,0.0,0.10820056429978032,0.0,0.034014852837875,0.0,0.0514993105615183,0.0,0.0,0.0,0.0338828854060036,0.037415979692705395,0.0,0.04693837377331139,0.11848156196875452,0.0,0.0,0.0,0.04752913587255322,0.0
0.215154702993951,0.0,0.02802919896861613,0.01011510411008844,0.009684061326674716,0.03981808861733196,0.11261676582819626,0.06935328096510923,0.0,0.05466823821878784,0.0,0.040533157792188024,0.0,0.0,0.0,0.019182209501230625,0.053858572389629315,0.018786377603225362,0.009663205617442565,0.045415146284004504,0.0,0.035794376610395515,0.009462694410562586,0.0,0.0,0.019765274779909355,0.0,0.0,0.0,0.009417295099824245,0.04896134584058711,0.047777888351926326,0.044575703852912804,0.05736731083740612,0.0,0.0
0.058640109709234965,0.04126186286458252,0.0,0.0,0.04391970822890813,0.05430422486758176,0.0,0.0,0.06194046846377106,0.0,0.051543928213139904,0.09835310123691016,0.0,0.0,0.0,0.0,0.0,0.019504668177813267,0.0,0.0,0.0,0.0,0.4521241399703594,0.0,0.0,0.0,0.0,0.0,0.0,0.07409874414116618,0.0,0.0,0.0,0.04430904412653266,0.0,0.0
0.0,0.0,0.0,0.08430330101455252,0.2981209072308933,0.0,0.08047167924479717,0.0,0.0,0.0,0.0,0.0,0.0,0.11831713496440718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09101180430369403,0.0,0.08299814007841663,0.17082372154546624,0.0,0.07395331161777303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.041894713810782115,0.018190324098224145,0.05078573611506503,0.020214138465114294,0.0,0.0,0.0,0.0,0.0,0.023198438320554203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04988677660647334,0.0,0.014822799071253223,0.0,0.022442076595182592,0.0,0.0,0.03285236912037345,0.5666302229756307,0.0,0.0,0.0,0.05954812710944721,0.0,0.0191082930889632,0.04521998646902291,0.03520599815391345,0.0
0.024458789836974592,0.14619545514266857,0.11518767038654967,0.010819224856783466,0.0838362920862861,0.0916960537707659,0.012622483343700693,0.01037771894678597,0.027853953653359447,0.011902131027731681,0.09779881506194868,0.07910589311362703,0.0,0.015086387679073903,0.01454811589181311,0.011008850640499272,0.0,0.0,0.013802541909479197,0.0,0.010674670655812254,0.0,0.08027068939100611,0.0,0.0,0.0,0.023391564730329637,0.0,0.0,0.0,0.045324101265285556,0.017539550274977823,0.0,0.0,0.05649904633454144,0.0
0.054056935813344455,0.0579884634530636,0.0,0.0,0.061723737579656254,0.07631789600521646,0.0,0.0,0.08704969534616207,0.0,0.08582926195954459,0.08355352737653023,0.038494516024025656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03820538773456759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41678057870788915,0.0
0.030813480513558665,0.1251269730442187,0.08774409440267622,0.011694256819178496,0.07664227350105374,0.06646914156694028,0.011162747750491617,0.0,0.04961998032078674,0.041140870692087085,0.1582360108328118,0.0715993703906022,0.026007857518629142,0.016412535994816353,0.0,0.012498950672227609,0.0,0.0,0.022117555082148497,0.0,0.024192150553322023,0.012624836753669816,0.020332880168634847,0.03515689621488643,0.0,0.01989484386509372,0.01025854276498244,0.0,0.020578605786543604,0.012115330897528125,0.0,0.03755981389311197,0.0,0.0,0.0,0.0
0.042429614501947405,0.06673675167526062,0.026452889381978505,0.0,0.048447333385065385,0.08982596724909618,0.025247635566238096,0.06237471117001933,0.08226226903574135,0.027264551292518396,0.10366659490825378,0.0655816668762963,0.04321511892179064,0.06823872123863803,0.030591623358589965,0.008605416361000146,0.0,0.0,0.0,0.0,0.028894728787073966,0.02635804935083433,0.04993545998963229,0.038701614421932776,0.0,0.0,0.0,0.04971515040115847,0.0,0.008341297558376391,0.0,0.0071128345685575875,0.0,0.0,0.0,0.0
0.061167286644589765,0.08825299211651086,0.0,0.0,0.0,0.023369447072354086,0.02613923886978591,0.0,0.04048678040719598,0.01055344949753307,0.039397562223643455,0.024392875374184553,0.07809427431574723,0.0,0.011762810038893328,0.0,0.011429288867340345,0.07717202217080114,0.022505616458862565,0.0,0.06418043555823848,0.011106350945380646,0.04630504580005821,0.0,0.06763448385584975,0.0,0.0,0.07766897976463347,0.04450061143894389,0.024820707302736594,0.034099850038195406,0.021366755186491726,0.0,0.05806199260592922,0.0232375715348973,0.012293571911202818
