t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04018652398892958,0.19555884681132377,0.0,0.09678320292339744,0.014968768912784826,0.0276418297732062,0.2740032301787745,0.0,0.0,0.0,0.013462583624572807,0.0,0.11514709220564182,0.03497195145019712,0.0,0.09072954203377455,0.0,0.0,0.09654642809739744,0.0
0.0,0.508046633857021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49195336614297897,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3213468713261026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6786531286738974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.25476508012040555,0.0,0.0,0.0,0.08417384985618502,0.02592864182901569,0.0,0.1400216679764718,0.0,0.0,0.0,0.3010075171274164,0.13761195828206269,0.0,0.0,0.0,0.05649128480844295,0.0
0.03291998882840276,0.0,0.1859277855420328,0.0,0.2861632112070531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03542271121357497,0.3229079079543928,0.0,0.10359619198238544,0.033062203272158086,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.04500985465259842,0.0,0.0,0.5004636962644665,0.0,0.0,0.0,0.0,0.2855270768222389,0.0,0.0,0.0,0.16899937226069614,0.0
0.6243324839322365,0.0,0.0,0.0,0.13430116467510053,0.0,0.133477870152469,0.0,0.10788848124019394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025599618998389577,0.0,0.22450680278511476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046858922825981385,0.5040164966584789,0.0,0.19901815873203532,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.306865614694811,0.0,0.0,0.0,0.02844651210330067,0.2479345264076655,0.0,0.3219647670519639,0.0,0.0,0.09478857974225885,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.331490510687538,0.0,0.0,0.0,0.0,0.33753154119754,0.0,0.0,0.0,0.0,0.330977948114922,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.05018078116465292,0.5701596556502715,0.19890370768059806,0.0,0.0,0.0,0.0,0.0,0.0,0.18075585550447745,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.13155610728940773,0.0,0.757219045236002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11122484747459015,0.0,0.0,0.0,0.0,0.0
0.0,0.03554046803304381,0.06959239101796344,0.05542498228575497,0.03213890483584005,0.0,0.15938576925571582,0.0,0.0,0.08783805746107547,0.02854079317800899,0.0,0.0,0.0,0.09520820814448198,0.039699323848221835,0.3570601309136165,0.0,0.03957097102627719,0.0
0.31999857992755526,0.0,0.348047677091578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16835814278654954,0.0,0.0,0.1635956001943173,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3001706032345165,0.08884932242743362,0.0,0.0,0.3966961726990007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09907806674357232,0.11520583489547677,0.0
0.028554580023637945,0.3709202822081498,0.0,0.0,0.21207981116617383,0.0,0.0,0.17534941476657598,0.0,0.08239701491392443,0.0,0.0,0.0,0.06778207316130831,0.06291682376022976,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.5118348366469005,0.09786132583362296,0.07543118344863858,0.0,0.1582050721461586,0.1566675819246793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
